Transaction ID,Item 1,Item 2,Item 3,Item 4
1,Bulk Chicken,Toilet Paper,Cereal,
2,Snacks,Cheese,Eggs,Fresh Vegetables
3,Frozen Berries,Olive Oil,,
4,Cereal,Laundry Detergent,Snacks,
5,Fresh Vegetables,Cheese,Bulk Chicken,
6,Eggs,Frozen Berries,Snacks,
7,Toilet Paper,Olive Oil,Fresh Vegetables,
8,Cereal,Bulk Chicken,Laundry Detergent,
9,Snacks,Cheese,Eggs,Frozen Berries
10,Laundry Detergent,Bulk Chicken,Toilet Paper,
11,Fresh Vegetables,Cereal,Snacks,Cheese
12,Eggs,Frozen Berries,Toilet Paper,
13,Cheese,Laundry Detergent,Snacks,
14,Bulk Chicken,Eggs,Fresh Vegetables,
15,Snacks,Cereal,Cheese,
16,Frozen Berries,Olive Oil,Laundry Detergent,
17,Eggs,Fresh Vegetables,Cereal,
18,Cheese,Toilet Paper,Bulk Chicken,
19,Snacks,Eggs,Frozen Berries,
20,Laundry Detergent,Fresh Vegetables,Cereal,
